reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
0000-0001-7025-1786,http://dx.doi.org/10.1145/2588555.2595642.,Fast Database Restarts at Facebook,scuba data memory queries server times upgraded facebook new software solution code users frequently hour fast format monitoring distributed disk multiple databases service analysis copying bug restart downtime related longer
0000-0002-9062-6546,,Loom: Query-aware Partitioning of Online Graphs,graph partitioned queries edges streamed workloads patterns partitioner techniques given sub large signature traverse trie matches nodes tpstry performed label loom factors algorithm datas initially vertices likely systems vertex improved
0000-0001-7525-8450,,"Social, Structured and Semantic Search",social documents user rdfs modeled property uris tagged triples semantical paths figure fragment connection relational keywords denote edges querying base data types instances result tion weights structural relationship item graphs
0000-0002-4839-1624,,Fast Approximate Correlation for Massive Time-series Data,data correlate cache algorithmic computational signal pairs times approximately uses batch technique tion queries efficients sequence similarity disks dataset streaming application works dft considers given provides large monitors matrix optimizations
0000-0002-9186-0270,,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales,diffuses state times network modeling infection probable traces probabilistically node estimation inference xuv scale observations optimizing dynam cormin influenza loss problems methods data cases exists risk functional formulation log spreads
0000-0001-9547-5137,,Diverse and proportional Size-l Object Summaries for Relational Keyword Search,authority conferences papers tuple importance relations data databases affin size examples year results queried faloutsos searches keywords global informative oss rooted sections research techniques trees user completely paradigms contains gds
0000-0003-1932-8914,,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC,graphs venus computations data sharding disk vertex memory edges modeled graphchi values algorithms based new execution perform processed loads structures large updating parallelize reads including size usually accesses different efficiency
0000-0003-0632-1668,,Jigsaw: Efficient Optimization Over Uncertain Enterprise Data,jigsaw parameters functionality queried simulated valu database expectations modeled data generally purchases pdbs user examples estimate distributed optimized efficiency result scenario processes based sample stochastic demand output useful selected simple
0000-0001-9148-8280,,Feeding Frenzy: Selectively Materializing UsersÂ¡Â¯ Event Feeds,events feed produced followed user problems consumes costs optimal latency pushing times materialize provides globally likely load resulted pulling strategies diversity new section queries scales generation rate ordering topic updated
0000-0002-8271-9187,,Self-organizing Tuple Reconstruction in Column-stores,query mappings crack columns tuples aligning selective operate results crackers multiple require storage performing base physically section reconstruct piece storing positional value tion accessed orderings data keys attributes organized initiated
